Phase_Number,State,Constituency,Total_Electorate_Count,Poll_Percent,Total_Votes_Polled
4,Andhra Pradesh,Kakinada,1634122.0,80.3,1312255.0
4,Andhra Pradesh,Kurnoolu,1722857.0,76.8,1323071.0
4,Andhra Pradesh,Machilipatnam,1539460.0,84.05,1293935.0
4,Andhra Pradesh,Nandyal,1721013.0,80.61,1387367.0
4,Andhra Pradesh,Narsapuram,1472923.0,82.59,1216550.0
4,Andhra Pradesh,Narsaraopet,1734858.0,85.65,1485909.0
4,Andhra Pradesh,Nellore,1712274.0,79.05,1353563.0
4,Andhra Pradesh,Ongole,1607832.0,87.06,1399707.0
4,Andhra Pradesh,Rajahmundry,1623149.0,80.93,1313630.0
4,Andhra Pradesh,Rajampet,1665702.0,79.09,1317448.0
4,Andhra Pradesh,Srikakulam,1631174.0,74.43,1214128.0
4,Andhra Pradesh,Thirupathi(SC),1729832.0,79.1,1368362.0
4,Andhra Pradesh,Vijayawada,1704077.0,79.37,1352495.0
4,Andhra Pradesh,Visakhapatnam,1927303.0,71.11,1370484.0
4,Andhra Pradesh,Vizianagaram,1585206.0,81.05,1284886.0
4,Bihar,Begusarai,2196089.0,58.7,1289076.0
4,Bihar,Darbhanga,1781356.0,57.37,1021962.0
4,Bihar,Munger,2042279.0,55.55,1134548.0
4,Bihar,Samastipur,1818530.0,60.11,1093182.0
4,Bihar,Ujiarpur,1745408.0,59.59,1040026.0
4,Jammu and Kashmir,SRINAGAR,1747810.0,38.49,672653.0
4,Jharkhand,Khunti,1326138.0,69.93,927422.0
4,Jharkhand,Lohardaga,1441302.0,66.45,957690.0
4,Jharkhand,Palamau,2243034.0,61.27,1374358.0
4,Jharkhand,Singhbhum,1447562.0,69.32,1003482.0
4,Madhya Pradesh,DEWAS,1940472.0,75.48,1464690.0
4,Madhya Pradesh,DHAR,1953834.0,72.76,1421585.0
4,Madhya Pradesh,INDORE,2526803.0,61.67,1558341.0
4,Madhya Pradesh,KHANDWA,2112203.0,71.52,1510588.0
4,Madhya Pradesh,KHARGONE,2046030.0,76.03,1555585.0
4,Madhya Pradesh,MANDSOUR,1898060.0,75.27,1428623.0
4,Madhya Pradesh,RATLAM,2094548.0,72.94,1527828.0
4,Madhya Pradesh,UJJAIN,1798704.0,73.82,1327715.0
4,Maharashtra,Ahmednagar,1981866.0,66.61,1320168.0
4,Maharashtra,Aurangabad,2059710.0,63.03,1298227.0
4,Maharashtra,Beed,2142547.0,70.92,1519526.0
4,Maharashtra,Jalgaon,1994046.0,58.47,1165968.0
4,Maharashtra,Jalna,1967574.0,69.18,1361226.0
4,Maharashtra,Maval,2585018.0,54.87,1418439.0
4,Maharashtra,Nandurbar,1970327.0,70.68,1392635.0
4,Maharashtra,Pune,2061276.0,53.54,1103678.0
4,Maharashtra,Raver,1821750.0,64.28,1170944.0
4,Maharashtra,Shirdi,1677335.0,63.03,1057298.0
4,Maharashtra,Shirur,2539702.0,54.16,1375593.0
4,Odisha,Berhampur,1591380.0,65.41,1040924.0
4,Odisha,Kalahandi,1700780.0,77.9,1324936.0
4,Odisha,Koraput,1480922.0,77.53,1148182.0
4,Odisha,Nabarangpur,1514140.0,82.16,1243957.0
4,Telangana,Adilabad,1650175.0,74.03,1221553.0
4,Telangana,Bhongir,1808585.0,76.78,1388680.0
4,Telangana,Chevella,2938370.0,56.4,1657107.0
